period,xDomainNumb,label,labelShort,labelVeryShort
2019-05-01/P1M,2019.33,May 2019,May 19,19
2019-05-15/P1Y,2019,2019-20,19-20,20
2019-06-01/P1M,2019.42,Jun 2019,Jun 19,19
2019-06-30,2019,2019,2019,19
2019-06-30/P5Y,2019,2019-24,19-24,24
2019-07-01/P1M,2019.5,Jul 2019,Jul 19,19
2019-08-01/P1M,2019.58,Aug 2019,Aug 19,19
2019-08-01/P1Y,2019,2019-20,19-20,20
2019-09-01/P1M,2019.67,Sep 2019,Sep 19,19
2019-09-01/P1Y,2019,2019-20,19-20,20
2019-10-01,2019.75,Oct 2019,Oct 19,19
2019-10-01/P1M,2019.75,Oct 2019,Oct 19,19
2019-11-01/P1M,2019.83,Nov 2019,Nov 19,19
2019-11-16/P1Y,2019,2019-20,19-20,20
2019-12-01/P1M,2019.92,Dec 2019,Dec 19,19
2020,2020,2020,2020,20
2020-01-01,2020,Jan 2020,Jan 20,20
2020-01-01/P1M,2020,Jan 2020,Jan 20,20
2020-01-01/P1Y,2020,2020,2020,20
2020-01-01/P3Y,2020,2020-22,20-22,22
2020-01-01/P5Y,2020,2020-24,20-24,24
2020-02-01/P1M,2020.08,Feb 2020,Feb 20,20
2020-02-01/P1Y,2020,2020-21,20-21,21
2020-03-01/P1M,2020.17,Mar 2020,Mar 20,20
2020-04-01,2020.25,Apr 2020,Apr 20,20
2020-04-01/P1M,2020.25,Apr 2020,Apr 20,20
2020-04-01/P1Y,2020,2020-21,20-21,21
2020-04-01/P3Y,2020,2020-23,20-23,23
2020-04-22,2020,2020,2020,20
2020-05-01/P1M,2020.33,May 2020,May 20,20
2020-05-15/P1Y,2020,2020-21,20-21,21
2020-06-01/P1M,2020.42,Jun 2020,Jun 20,20
2020-06-30,2020,2020,2020,20
2020-07-01,2020.5,Jul 2020,Jul 20,20
2020-07-01/P1M,2020.5,Jul 2020,Jul 20,20
2020-08-01/P1M,2020.58,Aug 2020,Aug 20,20
2020-08-01/P1Y,2020,2020-21,20-21,21
2020-09-01/P1M,2020.67,Sep 2020,Sep 20,20
2020-09-01/P1Y,2020,2020-21,20-21,21
2020-10-01,2020.75,Oct 2020,Oct 20,20
2020-10-01/P1M,2020.75,Oct 2020,Oct 20,20
2020-11-01/P1M,2020.83,Nov 2020,Nov 20,20
2020-11-16/P1Y,2020,2020-21,20-21,21
2020-12-01/P1M,2020.92,Dec 2020,Dec 20,20
2021-01-01,2021,Jan 2021,Jan 21,21
2021-01-01/P1M,2021,Jan 2021,Jan 21,21
2021-01-01/P1Y,2021,2021,2021,21
2021-01-01/P3Y,2021,2021-23,21-23,23
2021-02-01/P1M,2021.08,Feb 2021,Feb 21,21
2021-02-01/P1Y,2021,2021-22,21-22,22
2021-03-01/P1M,2021.17,Mar 2021,Mar 21,21
2021-04-01,2021.25,Apr 2021,Apr 21,21
2021-04-01/P1M,2021.25,Apr 2021,Apr 21,21
2021-04-01/P1Y,2021,2021-22,21-22,22
2021-04-01/P3Y,2021,2021-24,21-24,24
2021-04-21,2021,2021,2021,21
2021-05-01/P1M,2021.33,May 2021,May 21,21
2021-05-15/P1Y,2021,2021-22,21-22,22
2021-06-01/P1M,2021.42,Jun 2021,Jun 21,21
2021-06-30,2021,2021,2021,21
2021-07-01,2021.5,Jul 2021,Jul 21,21
2021-07-01/P1M,2021.5,Jul 2021,Jul 21,21
2021-08-01/P1M,2021.58,Aug 2021,Aug 21,21
2021-08-01/P1Y,2021,2021-22,21-22,22
2021-09-01/P1M,2021.67,Sep 2021,Sep 21,21
2021-09-01/P1Y,2021,2021-22,21-22,22
2021-09-30,2021,2021,2021,21
2021-10-01,2021.75,Oct 2021,Oct 21,21
2021-10-01/P1M,2021.75,Oct 2021,Oct 21,21
2021-11-01/P1M,2021.83,Nov 2021,Nov 21,21
2021-11-16/P1Y,2021,2021-22,21-22,22
2021-12-01/P1M,2021.92,Dec 2021,Dec 21,21
2022-01-01,2022,Jan 2022,Jan 22,22
2022-01-01/P1M,2022,Jan 2022,Jan 22,22
2022-01-01/P1Y,2022,2022,2022,22
2022-01-01/P3Y,2022,2022-24,22-24,24
2022-02-01/P1M,2022.08,Feb 2022,Feb 22,22
2022-02-01/P1Y,2022,2022-23,22-23,23
2022-03-01/P1M,2022.17,Mar 2022,Mar 22,22
2022-04-01,2022.25,Apr 2022,Apr 22,22
2022-04-01/P1M,2022.25,Apr 2022,Apr 22,22
2022-04-01/P1Y,2022,2022-23,22-23,23
2022-04-27,2022,2022,2022,22
2022-05-01/P1M,2022.33,May 2022,May 22,22
2022-05-15/P1Y,2022,2022-23,22-23,23
2022-06-01/P1M,2022.42,Jun 2022,Jun 22,22
2022-06-30,2022,2022,2022,22
2022-07-01,2022.5,Jul 2022,Jul 22,22
2022-07-01/P1M,2022.5,Jul 2022,Jul 22,22
2022-08-01/P1M,2022.58,Aug 2022,Aug 22,22
2022-08-01/P1Y,2022,2022-23,22-23,23
2022-09-01/P1M,2022.67,Sep 2022,Sep 22,22
2022-09-01/P1Y,2022,2022-23,22-23,23
2022-10-01,2022.75,Oct 2022,Oct 22,22
2022-10-01/P1M,2022.75,Oct 2022,Oct 22,22
2022-11-01/P1M,2022.83,Nov 2022,Nov 22,22
2022-11-16/P1Y,2022,2022-23,22-23,23
2022-12-01/P1M,2022.92,Dec 2022,Dec 22,22
2023-01-01,2023,Jan 2023,Jan 23,23
2023-01-01/P1M,2023,Jan 2023,Jan 23,23
2023-01-01/P1Y,2023,2023,2023,23
2023-02-01/P1M,2023.08,Feb 2023,Feb 23,23
2023-02-01/P1Y,2023,2023-24,23-24,24
2023-03-01/P1M,2023.17,Mar 2023,Mar 23,23
2023-04-01,2023.25,Apr 2023,Apr 23,23
2023-04-01/P1M,2023.25,Apr 2023,Apr 23,23
2023-04-01/P1Y,2023,2023-24,23-24,24
2023-04-19,2023,2023,2023,23
2023-05-01/P1M,2023.33,May 2023,May 23,23
2023-05-15/P1Y,2023,2023-24,23-24,24
2023-06-01/P1M,2023.42,Jun 2023,Jun 23,23
2023-06-30,2023,2023,2023,23
2023-07-01,2023.5,Jul 2023,Jul 23,23
2023-07-01/P1M,2023.5,Jul 2023,Jul 23,23
2023-07-01/P3M,2023.5,Q3 2023,Q3 23,23
2023-08-01/P1M,2023.58,Aug 2023,Aug 23,23
2023-08-01/P1Y,2023,2023-24,23-24,24
2023-08-15,2023,2023,2023,23
2023-09-01/P1M,2023.67,Sep 2023,Sep 23,23
2023-09-01/P1Y,2023,2023-24,23-24,24
2023-10-01,2023.75,Oct 2023,Oct 23,23
2023-10-01/P1M,2023.75,Oct 2023,Oct 23,23
2023-10-01/P3M,2023.75,Q4 2023,Q4 23,23
2023-10-05,2023,2023,2023,23
2023-11-01/P1M,2023.83,Nov 2023,Nov 23,23
2023-11-16/P1Y,2023,2023-24,23-24,24
2023-12-01/P1M,2023.92,Dec 2023,Dec 23,23
2024-01-01,2024,Jan 2024,Jan 24,24
2024-01-01/P1M,2024,Jan 2024,Jan 24,24
2024-01-01/P1Y,2024,2024,2024,24
2024-01-01/P3M,2024,Q1 2024,Q1 24,24
2024-02-01/P1M,2024.08,Feb 2024,Feb 24,24
2024-02-01/P1Y,2024,2024-25,24-25,25
2024-03-01/P1M,2024.17,Mar 2024,Mar 24,24
2024-04-01,2024.25,Apr 2024,Apr 24,24
2024-04-01/P1M,2024.25,Apr 2024,Apr 24,24
2024-04-01/P1Y,2024,2024-25,24-25,25
